Date,Route,Ridership
02/2019,56,105809
02/2019,57,8603
02/2019,59,29746
02/2019,62,52458
02/2019,63,32364
02/2019,65,26058
02/2019,67,20505
02/2019,69,33280
02/2019,70,44684
02/2019,71,40850
02/2019,73,31693
02/2019,75,32558
02/2019,76,63489
02/2019,77,42006
02/2019,78,102891
02/2019,79,34050
02/2019,80,164201
02/2019,81,36116
02/2019,82,24917
02/2019,83,74760
02/2019,85,116107
02/2019,87,36932
02/2019,89,40113
02/2019,91,15043
02/2019,92,6321
02/2019,93,26468
02/2019,94,35084
02/2019,95,9835
02/2019,103,7198
02/2019,104,460
02/2019,105,3784
02/2019,115,4748
02/2019,120,9894
02/2019,150,3767
02/2019,154,9096
02/2019,CityLink Blue,194090
02/2019,CityLink Brown,139905
02/2019,CityLink Gold,194217
02/2019,CityLink Green,125328
02/2019,CityLink Lime,135426
02/2019,CityLink Navy,179731
02/2019,CityLink Orange,202917
02/2019,CityLink Pink,137851
02/2019,CityLink Purple,140912
02/2019,CityLink Red,237343
02/2019,CityLink Silver,145154
02/2019,CityLink Yellow,159426
03/2019,21,50925
03/2019,22,230212
03/2019,26,134148
03/2019,28,89914
03/2019,29,108752
03/2019,30,133269
03/2019,31,94024
03/2019,33,23187
03/2019,34,21544
03/2019,36,61731
03/2019,37,64194
03/2019,38,2569
03/2019,51,37638
03/2019,52,7052
03/2019,53,108965
03/2019,54,187616
03/2019,56,112408
03/2019,57,11243
03/2019,59,31858
03/2019,62,62325
03/2019,63,41799
03/2019,65,28055
03/2019,67,25129
03/2019,69,37991
03/2019,70,48240
03/2019,71,39567
03/2019,73,34079
03/2019,75,33252
03/2019,76,71256
03/2019,77,46502
03/2019,78,117321
03/2019,79,40312
03/2019,80,197193
03/2019,81,45784
03/2019,82,36513
03/2019,83,88558
03/2019,85,128374
03/2019,87,41392
03/2019,89,45469
03/2019,91,23051
03/2019,92,7966
03/2019,93,30983
03/2019,94,44220
03/2019,95,15556
03/2019,103,7701
03/2019,104,657
03/2019,105,4736
03/2019,115,5517
03/2019,120,9316
03/2019,150,4361
03/2019,154,9882
03/2019,CityLink Blue,231117
03/2019,CityLink Brown,194124
03/2019,CityLink Gold,246537
03/2019,CityLink Green,171289
03/2019,CityLink Lime,159767
03/2019,CityLink Navy,188653
